cell,auROC.multiclass,auPR.multiclass,auROC.finetuned
A549,0.613681359224198,0.243987111958682,0.861999852192971
GM12878,0.754494936475225,0.560330649293197,0.849417581517995
HCT116,0.621903229722666,0.381348697934835,0.791982274164656
HEPG2,0.768422858635361,0.757684782744207,0.887012417459342
K562,0.735213088809235,0.438083122853392,0.872209351407602
MCF7,0.675947547934666,0.641695103939871,0.853896211198473
